key,value
advapi32.dll;RegOpenKeyExW,30
advapi32.dll;LookupPrivilegeValueW,30
advapi32.dll;RegQueryValueExW,30
advapi32.dll;RegCreateKeyExW,30
advapi32.dll;RegSetValueExW,30
advapi32.dll;SetFileSecurityW,30
advapi32.dll;SetFileSecurityA,30
advapi32.dll;AdjustTokenPrivileges,30
shell32.dll;ShellExecuteA,30
shell32.dll;SHGetFolderPathA,30
shell32.dll;SHChangeNotify,30
shell32.dll;ShellExecuteExW,30
shell32.dll;SHFileOperationW,30
shell32.dll;SHGetFileInfoW,30
shell32.dll;SHGetSpecialFolderLocation,30
shell32.dll;SHGetMalloc,30
shell32.dll;SHBrowseForFolderW,30
shell32.dll;SHGetPathFromIDListW,30
shell32.dll;DragFinish,30
msvcp60.dll;?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,30
msvcp60.dll;?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,30
msvcp60.dll;?_Xlen@std@@YAXXZ,30
msvcp60.dll;?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,30
wininet.dll;InternetQueryOptionA,30
wininet.dll;InternetSetOptionA,30
wininet.dll;HttpSendRequestExA,30
wininet.dll;HttpAddRequestHeadersA,30
wininet.dll;HttpSendRequestA,30
wininet.dll;InternetCrackUrlA,30
wininet.dll;InternetConnectA,30
wininet.dll;HttpQueryInfoA,30
wininet.dll;HttpOpenRequestA,30
wininet.dll;InternetOpenA,30
wininet.dll;InternetQueryDataAvailable,30
wininet.dll;HttpQueryInfoW,30
wininet.dll;HttpSendRequestExW,30
wininet.dll;HttpAddRequestHeadersW,30
wininet.dll;HttpOpenRequestW,30
wininet.dll;InternetConnectW,30
wininet.dll;InternetCrackUrlW,30
wininet.dll;InternetSetOptionW,30
wininet.dll;InternetOpenW,30
wininet.dll;InternetSetCookieW,30
msvcrt.dll;__p___initenv,30
msvcrt.dll;system,30
msvcrt.dll;ftell,30
msvcrt.dll;freopen,30
msvcrt.dll;_iob,30
msvcrt.dll;strtok,30
msvcrt.dll;scanf,30
msvcrt.dll;fflush,30
msvcrt.dll;strftime,30
msvcrt.dll;localtime,30
msvcrt.dll;_mbschr,30
msvcrt.dll;_local_unwind2,30
msvcrt.dll;strcmp,30
msvcrt.dll;wcsncat,30
msvcrt.dll;wcscpy,30
msvcrt.dll;sscanf,30
msvcrt.dll;strcat,30
msvcrt.dll;memset,30
msvcrt.dll;memcpy,30
msvcrt.dll;strcpy,30
msvcrt.dll;strncat,30
msvcrt.dll;memcmp,30
msvcrt.dll;_ftol,30
msvcrt.dll;_abnormal_termination,30
msvcrt.dll;wcscmp,30
msvcrt.dll;??0exception@@QAE@ABQBD@Z,30
msvcrt.dll;??1exception@@UAE@XZ,30
msvcrt.dll;_CxxThrowException,30
msvcrt.dll;??0exception@@QAE@ABV0@@Z,30
msvcrt.dll;_wfopen,30
msvcrt.dll;_wcsnicmp,30
msvcrt.dll;fgetpos,30
msvcrt.dll;_splitpath,30
msvcrt.dll;memmove,30
msvcrt.dll;memchr,30
msvcrt.dll;_setmbcp,30
msvcrt.dll;_acmdln,30
ole32.dll;CreateStreamOnHGlobal,30
ole32.dll;OleInitialize,30
ole32.dll;OleUninitialize,30
ole32.dll;CLSIDFromString,30
comctl32.dll;InitCommonControlsEx,30
shlwapi.dll;SHAutoComplete,30
comdlg32.dll;CommDlgExtendedError,30
comdlg32.dll;GetSaveFileNameW,30
winhttp.dll;WinHttpGetIEProxyConfigForCurrentUser,30
